Financial Aid System Applicant ID,Total Tuition,Recommended Award,Rec Award Perc Tuition, Children in Applicant's HH,Est Household Contribution,Total Income, Total Available for Tuition, Total Assets,Total Liabilities,Total Net Worth,P1 Alumni Academy,P1 Alumni Camp,P1 Alumni Institute,P1 Alumni All-State,P2 Alumni Academy,P2 Alumni Camp,P2 Alumni All-State,P2:Alumni Institute,Sum Alum,Grade,Primary Arts Area,Aid Total Need,Aid Merit,Aid Inst Grant,Sex,Behavior Review,Academic Review,Health Review,Learning Specialist Review,CAPS Review,Sum Review,Tuition Default,Art Rating,Accepted,Attended Camp,Attended Inst,Attended Sum,Tuition Remander,Total FA,Percent FA,Enrolled
609042,64615,0,0,4,25000,405000,154615,792000,445000,347000,0,0,0,0,0,0,0,0,0,9,3,0,4000,15000,1,0,0,0,0,0,0,0,3,1,0,0,0,45615,19000,0.294,0
603437,64615,0,0,2,25000,115561,65139,1190000,0,1190000,0,0,0,0,0,0,0,0,0,12,0,14700,0,22500,1,0,0,0,0,0,0,0,4,1,1,0,1,27415,37200,0.5757,1
607701,64615,3805,0.0589,1,10000,128483,60810,554300,100276,454024,0,0,0,0,0,0,0,0,0,11,5,3000,5000,31000,1,0,0,0,0,0,0,0,3,1,0,0,0,25615,39000,0.6036,1
607833,68685,63685,0.9272,2,5000,77610,5000,309000,199109,109891,0,0,0,0,0,0,0,0,0,12,0,51000,5000,0,0,0,0,0,0,0,0,0,4,1,1,0,1,12685,56000,0.8153,1
601536,64615,54615,0.8452,1,10000,61699,10000,437545,203159,234386,0,0,0,0,0,0,0,0,0,11,4,52000,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,12615,52000,0.8048,1
606685,64615,64615,1,1,0,18926,0,115000,1500,113500,0,0,0,0,0,0,0,0,0,11,0,15000,15000,15000,0,0,1,0,0,0,1,0,5,1,0,0,0,19615,45000,0.6964,1
609042,64615,0,0,4,25000,405000,154615,792000,445000,347000,0,0,0,0,0,0,0,0,0,9,3,0,4000,15000,1,0,0,0,0,0,0,0,3,1,0,0,0,45615,19000,0.294,0
603437,64615,0,0,2,25000,115561,65139,1190000,0,1190000,0,0,0,0,0,0,0,0,0,12,0,14700,0,22500,1,0,0,0,0,0,0,0,4,1,1,0,1,27415,37200,0.5757,1
607701,64615,3805,0.0589,1,10000,128483,60810,554300,100276,454024,0,0,0,0,0,0,0,0,0,11,5,3000,5000,31000,1,0,0,0,0,0,0,0,3,1,0,0,0,25615,39000,0.6036,1
607833,68685,63685,0.9272,2,5000,77610,5000,309000,199109,109891,0,0,0,0,0,0,0,0,0,12,0,51000,5000,0,0,0,0,0,0,0,0,0,4,1,1,0,1,12685,56000,0.8153,1
607066,64615,14615,0.2262,1,50000,96944,50000,628929,201950,426979,0,0,0,0,0,0,0,0,0,12,7,0,0,10000,1,0,0,0,0,0,0,0,4,1,0,0,0,54615,10000,0.1548,1
608839,64615,60615,0.9381,1,4000,15960,4000,30996,60000,-29004,0,0,0,0,0,0,0,0,0,12,0,38000,0,5000,0,0,0,0,0,0,0,0,5,1,0,0,0,21615,43000,0.6655,1
605432,64615,62615,0.969,3,2000,26713,2000,42860,13500,29360,0,0,0,0,0,0,0,0,0,10,0,37000,15000,0,0,0,0,0,0,0,0,0,5,1,0,0,0,12615,52000,0.8048,0
601536,64615,54615,0.8452,1,10000,61699,10000,437545,203159,234386,0,0,0,0,0,0,0,0,0,11,4,52000,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,12615,52000,0.8048,1
608839,64615,60615,0.9381,1,4000,15960,4000,30996,60000,-29004,0,0,0,0,0,0,0,0,0,12,0,38000,0,5000,0,0,0,0,0,0,0,0,5,1,0,0,0,21615,43000,0.6655,1
601536,64615,54615,0.8452,1,10000,61699,10000,437545,203159,234386,0,0,0,0,0,0,0,0,0,11,4,52000,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,12615,52000,0.8048,1
606685,64615,64615,1,1,0,18926,0,115000,1500,113500,0,0,0,0,0,0,0,0,0,11,0,15000,15000,15000,0,0,1,0,0,0,1,0,5,1,0,0,0,19615,45000,0.6964,1
609042,64615,0,0,4,25000,405000,154615,792000,445000,347000,0,0,0,0,0,0,0,0,0,9,3,0,4000,15000,1,0,0,0,0,0,0,0,3,1,0,0,0,45615,19000,0.294,0
603437,64615,0,0,2,25000,115561,65139,1190000,0,1190000,0,0,0,0,0,0,0,0,0,12,0,14700,0,22500,1,0,0,0,0,0,0,0,4,1,1,0,1,27415,37200,0.5757,1
607701,64615,3805,0.0589,1,10000,128483,60810,554300,100276,454024,0,0,0,0,0,0,0,0,0,11,5,3000,5000,31000,1,0,0,0,0,0,0,0,3,1,0,0,0,25615,39000,0.6036,1
627333,68685,63685,0.9272,2,5000,77610,5000,309000,199109,109891,0,0,0,0,0,0,0,0,0,12,0,51000,5000,0,0,0,0,0,0,0,0,0,4,1,1,0,1,12685,56000,0.8153,1
609042,64615,0,0,4,25000,405000,154615,792000,445000,347000,0,0,0,0,0,0,0,0,0,9,3,0,4000,15000,1,0,0,0,0,0,0,0,3,1,0,0,0,45615,19000,0.294,0
603437,64615,0,0,2,25000,115561,65139,1190000,0,1190000,0,0,0,0,0,0,0,0,0,12,0,14700,0,22500,1,0,0,0,0,0,0,0,4,1,1,0,1,27415,37200,0.5757,1
607777,64615,95905,0.0589,1,10000,128483,60810,554300,100276,454024,0,0,0,0,0,0,0,0,0,11,5,3000,5000,31000,1,0,0,0,0,0,0,0,3,1,0,0,0,25615,39000,0.6036,1
627333,68885,63685,0.9272,2,5000,77610,5000,309000,199109,109891,0,0,0,0,0,0,0,0,0,12,0,51000,5000,0,0,0,0,0,0,0,0,0,4,1,1,0,1,12685,56000,0.8153,1
609042,61111,0,0,4,25000,405000,154615,792000,445000,347000,0,0,0,0,0,0,0,0,0,9,3,0,4000,15000,1,0,0,0,0,0,0,0,3,1,0,0,0,45615,19000,0.294,0
607777,65615,95905,0.0589,1,10000,128483,60810,554300,100276,454024,0,0,0,0,0,0,0,0,0,11,5,3000,5000,31000,1,0,0,0,0,0,0,0,3,1,0,0,0,25615,39000,0.6036,1
609042,61211,0,0,4,25000,405000,154615,792000,445000,347000,0,0,0,0,0,0,0,0,0,9,3,0,4000,15000,1,0,0,0,0,0,0,0,3,1,0,0,0,45615,19000,0.294,0
